,Jun 01,Jun 02,Jun 03,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,Jun 29,Jun 30
Delivery issue,12,8,15,10,18,14,9,20,16,11,13,19,17,12,15,21,14,16,18,13,15,17,19,16,14,12,18,20,15,23
Food stale,5,7,3,6,8,4,5,9,6,4,7,8,5,6,4,10,5,7,6,5,8,7,9,6,5,7,8,9,7,11
Delivery partner rude,8,12,6,9,11,7,10,13,8,9,11,10,7,12,9,14,8,10,11,9,12,10,13,9,11,10,12,11,10,9
App crashing,2,4,7,3,5,6,4,8,5,3,6,7,4,5,6,9,4,7,5,6,8,6,7,5,6,7,8,6,7,5
Payment problem,1,3,2,4,3,5,2,6,4,3,5,4,2,6,3,7,4,5,3,4,6,5,4,3,5,4,6,5,4,8
Refund issue,3,2,4,3,5,4,3,6,4,5,3,4,5,3,6,4,5,3,4,5,3,6,4,5,3,4,5,6,4,7
Maps not working properly,2,4,3,5,4,6,3,5,4,3,5,4,6,3,5,4,3,6,4,5,3,4,5,6,4,3,5,4,6,6
Food quality poor,4,3,5,4,6,3,5,4,3,6,4,5,3,4,5,6,3,4,5,3,6,4,5,3,4,5,6,4,3,5
Order cancellation issue,3,4,2,5,3,4,2,5,3,4,2,5,3,4,2,5,3,4,5,2,4,3,5,4,2,3,5,4,2,6
Missing items,2,3,4,2,5,3,4,2,5,3,4,2,5,3,4,2,5,3,4,5,2,4,3,5,4,2,5,3,4,5
Packaging damaged,1,2,1,3,2,1,3,2,1,4,2,1,3,2,1,4,2,1,3,2,4,1,2,3,1,4,2,1,3,4
Customer service poor,3,2,4,3,2,5,3,4,2,3,5,4,2,3,4,5,2,3,4,2,5,3,4,2,3,5,4,2,3,5
